Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS
163,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with crowd forecast),56.5,6959,"[56.1, 56.8]",Yes,<0.001,No,1.00,0.0,0.0,0.023,0.089
163,ForecastBench,Mistral,Magistral-Medium-2506 (scratchpad with crowd forecast),56.5,3384,"[55.9, 57.0]",Yes,<0.001,No,1.00,0.0,0.0,0.02,0.073
163,ForecastBench,Z.ai,GLM-4.5-Air-FP8 (zero shot with crowd forecast),56.5,3028,"[55.9, 57.1]",Yes,<0.001,No,1.00,0.0,0.0,0.001,0.069
163,ForecastBench,Anthropic,Claude-Opus-4-8 (zero shot with crowd forecast),56.5,239,"[54.0, 58.6]",Yes,<0.001,No,0.95,0.0,0.0,-0.012,0.074
167,ForecastBench,Google,Gemini-1.5-Pro (scratchpad with news with crowd forecast),56.4,1384,"[55.5, 57.3]",Yes,<0.001,No,1.00,0.0,0.0,0.037,0.098
167,ForecastBench,Google,Gemini-1.5-Pro (scratchpad with news),56.4,1384,"[55.5, 57.3]",Yes,<0.001,No,1.00,0.0,0.0,0.037,0.098
169,ForecastBench,Qwen,Qwen2.5-72B-Instruct-Turbo (zero shot with crowd forecast),56.3,2850,"[55.8, 56.8]",Yes,<0.001,No,1.00,0.0,0.0,0.008,0.089
169,ForecastBench,OpenAI,GPT-5.4-Nano-2026-03-17 (zero shot with crowd forecast),56.3,2538,"[55.7, 56.9]",Yes,<0.001,No,1.00,0.0,0.0,-0.004,0.089
169,ForecastBench,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),56.3,1384,"[55.5, 57.1]",Yes,<0.001,No,1.00,0.0,0.0,0.036,0.097
169,ForecastBench,Qwen,Qwen1.5-110B-Chat (scratchpad with crowd forecast),56.3,1384,"[55.6, 57.0]",Yes,<0.001,No,1.00,0.0,0.0,0.036,0.097
169,FractalAIResearch,FractalAIResearch,Fathom-Search-4B (prompt 1),56.3,970,"[55.0, 57.7]",Yes,<0.001,No,0.99,0.0,0.0,-0.005,0.049
174,ForecastBench,OpenAI,GPT-4o (scratchpad with crowd forecast),56.1,1384,"[55.2, 57.0]",Yes,<0.001,No,1.00,0.0,0.0,0.035,0.095
175,ForecastBench,Mistral,Mistral-Large-2407 (zero shot with crowd forecast),55.9,9935,"[55.6, 56.2]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.08
176,ForecastBench,OpenAI,GPT-4-0613 (zero shot with crowd forecast),55.8,1384,"[54.9, 56.6]",Yes,<0.001,No,1.00,0.0,0.0,0.031,0.092
177,ForecastBench,OpenAI,GPT-4o-2024-05-13 (zero shot with crowd forecast),55.6,9935,"[55.2, 56.0]",Yes,<0.001,No,1.00,0.0,0.0,0.008,0.077
177,ForecastBench,Mistral,Mistral-Large-2411 (zero shot with crowd forecast),55.6,3384,"[55.0, 56.1]",Yes,<0.001,No,1.00,0.0,0.0,0.012,0.065
177,ForecastBench,OpenAI,GPT-4o (scratchpad with news with crowd forecast),55.6,1384,"[54.7, 56.6]",Yes,<0.001,No,1.00,0.0,0.0,0.031,0.091
177,ForecastBench,OpenAI,GPT-4o (scratchpad with news),55.6,1384,"[54.7, 56.6]",Yes,<0.001,No,1.00,0.0,0.0,0.031,0.091
177,ForecastBench,Qwen,Qwen1.5-110B-Chat (scratchpad with news with crowd forecast),55.6,1384,"[54.7, 56.4]",Yes,<0.001,No,1.00,0.0,0.0,0.03,0.09
177,ForecastBench,Qwen,Qwen1.5-110B-Chat (scratchpad with news),55.6,1384,"[54.7, 56.4]",Yes,<0.001,No,1.00,0.0,0.0,0.03,0.09
183,ForecastBench,OpenAI,GPT-4-0613 (scratchpad with crowd forecast),55.5,1384,"[54.8, 56.3]",Yes,<0.001,No,1.00,0.0,0.0,0.029,0.09
184,ForecastBench,Mistral AI,Mistral-Large-Latest (scratchpad with crowd forecast),55.4,1384,"[54.7, 56.2]",Yes,<0.001,No,1.00,0.0,0.0,0.029,0.089
184,Google DeepMind,Google DeepMind,copper-teapot,55.4,492,"[52.6, 58.2]",Yes,<0.001,No,0.97,0.0,0.0,-0.01,0.097
186,ForecastBench,xAI,Grok-4.20-Beta-0309-Non-Reasoning (zero shot with crowd forecast),55.3,930,"[54.8, 55.9]",Yes,<0.001,No,1.00,0.0,0.0,-0.011,0.086
186,GS-AI-superforecaster,GS-AI-superforecaster,ensemble,55.3,726,"[54.3, 56.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.011,0.088
188,FractalAIResearch,FractalAIResearch,Fathom-Search-4B (prompt 2),55.1,970,"[53.7, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.016,0.038
189,ForecastBench,Meta,Llama-3.3-70B-Instruct-Turbo (zero shot with crowd forecast),55.0,10094,"[54.7, 55.4]",Yes,<0.001,No,1.00,0.0,0.0,-0.001,0.071
189,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news with crowd forecast),55.0,1384,"[54.1, 55.9]",Yes,<0.001,No,1.00,0.0,0.0,0.025,0.085
189,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),55.0,1384,"[54.1, 55.9]",Yes,<0.001,No,1.00,0.0,0.0,0.025,0.085
192,ForecastBench,Mistral,Mistral-Large-2407 (scratchpad with crowd forecast),54.9,5770,"[54.5, 55.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.002,0.07
192,ForecastBench,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),54.9,1384,"[54.1, 55.8]",Yes,<0.001,No,1.00,0.0,0.0,0.024,0.085
194,ForecastBench,OpenAI,GPT-4o-2024-05-13 (scratchpad with crowd forecast),54.8,9935,"[54.5, 55.1]",Yes,<0.001,No,1.00,0.0,0.0,0.001,0.07
194,ForecastBench,Google,Gemini-1.5-Pro (zero shot with crowd forecast),54.8,1384,"[53.9, 55.6]",Yes,<0.001,No,1.00,0.0,0.0,0.023,0.083
194,ForecastBench,Qwen,Qwen1.5-110B-Chat (zero shot with crowd forecast),54.8,1384,"[54.0, 55.6]",Yes,<0.001,No,1.00,0.0,0.0,0.023,0.084
197,ForecastBench,Meta,Llama-3-70b-Chat-Hf (zero shot with crowd forecast),54.7,4109,"[54.3, 55.2]",Yes,<0.001,No,1.00,0.0,0.0,0.017,0.074
197,ForecastBench,Meta,Llama-3-8b-Chat-Hf (zero shot with crowd forecast),54.7,2797,"[54.0, 55.4]",Yes,<0.001,No,1.00,0.0,0.0,0.019,0.073
197,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with crowd forecast),54.7,1384,"[53.9, 55.4]",Yes,<0.001,No,1.00,0.0,0.0,0.022,0.082
200,ForecastBench,Google,Gemini-1.5-Pro (superforecaster with news 3),54.6,1384,"[53.7, 55.5]",Yes,<0.001,No,1.00,0.0,0.0,0.021,0.081
201,Anonymous 8,Anonymous 8,ensemble (critique-1-99),54.4,393,"[52.4, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.023,0.067
201,Anonymous 8,Anonymous 8,ensemble (critique-5-95),54.4,393,"[52.4, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.023,0.067
201,Anonymous 8,Anonymous 8,ensemble (nocritique-1-99),54.4,393,"[52.4, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.023,0.067
204,ForecastBench,Anthropic,Claude-3-Opus-20240229 (scratchpad with news with crowd forecast),54.2,1384,"[53.3, 55.2]",Yes,<0.001,No,1.00,0.0,0.0,0.018,0.078
204,ForecastBench,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),54.2,1384,"[53.3, 55.2]",Yes,<0.001,No,1.00,0.0,0.0,0.018,0.078
204,ForecastBench,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),54.2,1384,"[53.2, 55.2]",Yes,<0.001,No,1.00,0.0,0.0,0.018,0.078
207,ForecastBench,Mistral AI,Mistral-Large-Latest (zero shot with crowd forecast),54.1,1384,"[53.2, 55.0]",Yes,<0.001,No,1.00,0.0,0.0,0.016,0.077
208,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),54.0,1384,"[53.0, 54.9]",Yes,<0.001,No,1.00,0.0,0.0,0.015,0.076
209,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),53.9,1384,"[52.8, 54.8]",Yes,<0.001,No,1.00,0.0,0.0,0.014,0.075
210,ForecastBench,Meta,Llama-3-70b-Chat-Hf (scratchpad with crowd forecast),53.6,1384,"[52.8, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.012,0.073
210,ForecastBench,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),53.6,1384,"[52.5, 54.6]",Yes,<0.001,No,1.00,0.0,0.0,0.012,0.072
210,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot with crowd forecast),53.6,1384,"[52.8, 54.5]",Yes,<0.001,No,1.00,0.0,0.0,0.012,0.073
210,sirbayes,sirbayes,pro-high-brave-c1-t1,53.6,439,"[51.9, 55.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.027,0.109
214,ForecastBench,Meta,Llama-4-Scout-17B-16E-Instruct (zero shot with crowd forecast),53.5,6900,"[53.2, 53.9]",Yes,<0.001,No,1.00,0.0,0.0,-0.014,0.056
214,ForecastBench,Mistral AI,Mistral-Large-Latest (scratchpad with news with crowd forecast),53.5,1384,"[52.5, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.071
214,ForecastBench,Mistral AI,Mistral-Large-Latest (scratchpad with news),53.5,1384,"[52.5, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.071
214,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with crowd forecast),53.5,1384,"[52.6, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.072
214,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),53.5,1384,"[52.6, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.072
214,ForecastBench,OpenAI,GPT-4o (zero shot with crowd forecast),53.5,1384,"[52.4, 54.5]",Yes,<0.001,No,1.00,0.0,0.0,0.011,0.072
220,ForecastBench,Meta,Llama-4-Scout-17B-16E-Instruct (scratchpad with crowd forecast),53.4,4319,"[53.0, 53.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.018,0.053
220,ForecastBench,Google,Gemini-1.5-Pro (superforecaster with news 1),53.4,1384,"[52.4, 54.4]",Yes,<0.001,No,1.00,0.0,0.0,0.01,0.071
220,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),53.4,1384,"[52.6, 54.3]",Yes,<0.001,No,1.00,0.0,0.0,0.01,0.071
223,ForecastBench,Google,Gemini-1.5-Flash (zero shot with crowd forecast),53.3,1384,"[52.3, 54.2]",Yes,<0.001,No,1.00,0.0,0.0,0.009,0.07
224,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),53.2,1384,"[52.5, 53.9]",Yes,<0.001,No,1.00,0.0,0.0,0.008,0.069
225,ForecastBench,OpenAI,GPT-4o (superforecaster with news 1),53.1,1384,"[52.0, 54.2]",Yes,<0.001,No,1.00,0.0,0.0,0.008,0.068
226,Stochastic Radiant,Anthropic,claude-3-5-haiku-20241022,53.0,1141,"[52.3, 53.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.008,0.047
227,ForecastBench,Google,Gemini-1.5-Flash (scratchpad with crowd forecast),52.9,1384,"[51.8, 54.1]",Yes,<0.001,No,1.00,0.0,0.0,0.006,0.066
227,ForecastBench,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot with crowd forecast),52.9,1384,"[51.7, 54.2]",Yes,<0.001,No,1.00,0.0,0.0,0.006,0.066
229,ForecastBench,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),52.8,1384,"[51.8, 53.8]",Yes,<0.001,No,1.00,0.0,0.0,0.005,0.065
230,ForecastBench,Google,Gemini-2.0-Flash-Lite-001 (zero shot with crowd forecast),52.6,2888,"[51.9, 53.4]",Yes,<0.001,No,1.00,0.0,0.0,-0.02,0.052
231,ForecastBench,Anthropic,Claude-2.1 (zero shot with crowd forecast),52.3,1384,"[51.6, 53.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.0,0.061
232,ForecastBench,Google,Gemini-1.5-Pro (superforecaster with news 2),52.1,1384,"[50.9, 53.2]",Yes,<0.001,No,1.00,0.0,0.0,-0.002,0.058
233,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),51.6,1384,"[50.6, 52.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.007,0.054
234,ForecastBench,Google,Gemini-1.5-Flash (scratchpad with news with crowd forecast),51.5,1384,"[50.3, 52.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.008,0.053
234,ForecastBench,Google,Gemini-1.5-Flash (scratchpad with news),51.5,1384,"[50.3, 52.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.008,0.053
236,Mantic,Mantic,mantic-light-2025-10-testing,51.4,4487,"[50.7, 52.2]",Yes,<0.001,No,1.00,0.0,0.0,-0.048,0.022
237,ForecastBench,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),51.3,1384,"[50.3, 52.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.01,0.051
238,hliu763,hliu763,Spring,51.2,239,"[49.5, 53.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.06,0.026
238,hliu763,hliu763,Summer,51.2,239,"[49.5, 53.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.06,0.026
240,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (zero shot with crowd forecast),50.9,6959,"[50.5, 51.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.028,0.038
241,ForecastBench,Meta,Llama-3-8b-Chat-Hf (scratchpad with crowd forecast),50.5,1384,"[49.6, 51.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.018,0.042
242,ForecastBench,ForecastBench,Always 0.5,50.0,29212,"[50.0, 50.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.05,0.02
242,ForecastBench,ForecastBench,Imputed Forecaster,50.0,29212,"[50.0, 50.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.05,0.02
244,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (scratchpad with crowd forecast),49.9,1384,"[49.0, 50.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.024,0.037
244,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),49.9,1384,"[48.9, 50.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.024,0.037
244,ForecastBench,OpenAI,GPT-4o (superforecaster with news 2),49.9,1384,"[48.8, 51.1]",Yes,<0.001,No,1.00,0.0,0.0,-0.023,0.037
247,ForecastBench,Google,Gemini-1.5-Flash (superforecaster with news 1),49.8,1384,"[48.6, 51.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.025,0.035
248,ForecastBench,Meta,Llama-2-70b-Chat-Hf (scratchpad with crowd forecast),49.7,1384,"[48.9, 50.4]",Yes,<0.001,No,1.00,0.0,0.0,-0.026,0.035
248,ARC,ARC,PAUL,49.7,484,"[48.0, 51.6]",Yes,<0.001,No,1.00,0.0,0.0,-0.066,0.013
250,ForecastBench,Google,Gemini-1.5-Flash (superforecaster with news 2),49.6,1384,"[48.3, 50.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.027,0.034
251,ForecastBench,Meta,Llama-2-70b-Chat-Hf (zero shot with crowd forecast),49.2,1384,"[48.2, 50.1]",Yes,<0.001,No,1.00,0.0,0.0,-0.031,0.029
252,ForecastBench,OpenAI,GPT-3.5-Turbo-0125 (scratchpad with crowd forecast),48.1,1384,"[47.2, 49.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.042,0.019
253,ForecastBench,ForecastBench,Naive Forecaster,48.0,29212,"[47.8, 48.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.071,0.0
254,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news with crowd forecast),46.4,1384,"[45.4, 47.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.06,0.0
254,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),46.4,1384,"[45.4, 47.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.06,0.0
256,ForecastBench,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),44.4,1384,"[43.3, 45.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.082,-0.022
257,ForecastBench,ForecastBench,Random Uniform,42.2,29212,"[41.9, 42.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.134,-0.063
258,ForecastBench,ForecastBench,Always 0,38.3,29212,"[37.9, 38.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.18,-0.11
259,ForecastBench,OpenAI,GPT-3.5-Turbo-0125 (zero shot with crowd forecast),34.8,1384,"[33.8, 35.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.198,-0.137
260,ForecastBench,ForecastBench,Always 1,21.3,29212,"[20.9, 21.6]",Yes,<0.001,No,1.00,0.0,0.0,-0.42,-0.349
